Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
ConstitutionDAO  PEOPLE,$0.0235,-1.76%,$165.0m,$20.9m,-3.23%,0.14%,0.13,-0.0132%,+0.0218%,$119.2k
NEAR Protocol  NEAR,$1.84,-4.50%,$164.2m,$47.8m,+10.52%,0.33%,0.29,+0.0396%,+0.0358%,$386.9k
SushiSwap  SUSHI,$1.24,-4.27%,$145.5m,$26.2m,+0.02%,0.18%,0.18,+0.0130%,+0.0238%,$70.5k
Filecoin  FIL,$4.31,-0.54%,$143.1m,$62.3m,-1.38%,0.42%,0.44,+0.0182%,+0.0125%,$173.3k
Algorand  ALGO,$0.2636,-2.66%,$140.3m,$25.2m,+0.07%,0.17%,0.18,+0.0110%,+0.0164%,$93.1k
ApeCoin  APE,$2.89,-0.79%,$137.2m,$32.8m,+1.05%,0.22%,0.24,+0.0063%,+0.0129%,$603.7k
Curve DAO Token  CRV,$0.5582,-5.03%,$134.3m,$26.0m,+7.96%,0.18%,0.19,+0.0292%,+0.0487%,$325.2k
Tron  TRX,$0.0497,-0.97%,$131.8m,$87.6m,+1.35%,0.60%,0.66,-0.0081%,-0.0038%,$115.8k
Cosmos  ATOM,$9.99,-1.68%,$127.3m,$48.1m,-2.59%,0.33%,0.38,+0.0095%,+0.0154%,$51.5k
Jasmy  JASMY,$0.0041,+6.71%,$127.2m,$11.6m,+58.98%,0.08%,0.09,-0.0074%,+0.0070%,$225.3k
