Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
1inch  1INCH,$0.5983,-1.79%,$30.1m,$23.8m,-1.99%,0.10%,0.79,-0.0038%,+0.0045%,$66.0k
Huobi Token  HT,$8.86,+4.44%,$28.9m,$29.9m,+2.95%,0.12%,1.03,+0.0044%,+0.0069%,$171.5k
Immutable X  IMX,$0.5804,-0.69%,$28.9m,$19.6m,-2.71%,0.08%,0.68,-0.0387%,-0.0542%,$33.5k
Ravencoin  RVN,$0.0301,-3.56%,$28.5m,$16.0m,-2.84%,0.07%,0.56,+0.0050%,+0.0052%,$104.4k
0x  ZRX,$0.2517,-0.81%,$28.3m,$7.8m,-2.26%,0.03%,0.28,+0.0006%,-0.0010%,$29.7k
FOOTBALL  FOOTBALL,$813.06,-1.37%,$28.3m,$11.6m,-7.48%,0.05%,0.41,+0.0256%,+0.0199%,$51.2k
VeChain  VET,$0.0233,-1.08%,$28.3m,$19.7m,-3.37%,0.08%,0.7,-0.0025%,-0.0066%,$29.9k
Kava  KAVA,$1.40,-1.32%,$27.9m,$14.6m,-4.58%,0.06%,0.52,-0.0151%,-0.0309%,$50.6k
Hedera  HBAR,$0.0589,+0.40%,$26.6m,$12.3m,-4.70%,0.05%,0.46,+0.0071%,+0.0075%,$25.1k
Tellor  TRB,$14.59,-3.78%,$26.6m,$11.2m,-6.97%,0.05%,0.42,-0.0058%,+0.0198%,$60.7k
OmiseGO  OMG,$1.59,-2.04%,$25.6m,$14.8m,-5.88%,0.06%,0.58,-0.0047%,-0.0051%,$18.7k
NEO  NEO,$8.37,-0.45%,$24.9m,$14.7m,-0.08%,0.06%,0.59,-0.0112%,+0.0035%,$24.4k
Coin98  C98,$0.3033,-3.30%,$24.6m,$16.5m,+0.14%,0.07%,0.67,+0.0067%,+0.0070%,$109.2k
Enjin Coin  ENJ,$0.4320,-3.24%,$24.5m,$13.4m,-4.28%,0.06%,0.55,-0.0005%,-0.0009%,$86.6k
API3  API3,$1.84,+3.80%,$24.5m,$5.4m,+6.12%,0.02%,0.22,+0.0091%,+0.0152%,$20.5k
